,ID_t,S_1_lat,S_1_lon,lat_t,lon_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols
0,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,48600.0,49.5,-114.75,0.0625,48600,0.007845944572103,0.156664185682649,0.125535113153654,0.156664185682649,1.0,102.0,221.0
1,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,48121.0,49.75,-114.75,0.0625,48121,0.003779175736335,0.075460829966823,0.060466811781366,0.075460829966822,0.538799337976818,101.0,221.0
2,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,48122.0,49.75,-114.5,0.0625,48122,0.022730555763119,0.453873204942671,0.363688892209907,0.453873204942671,0.363688892209907,101.0,222.0
3,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,48601.0,49.5,-114.5,0.0625,48601,0.015725614287917,0.314001779407859,0.251609828606666,0.314001779407858,0.282091451204603,102.0,222.0
4,2,49.632208,-113.932166,49.62911474423079,-113.93466362352785,0.023922916647528,2,48125.0,49.75,-113.75,0.0625,48125,0.000538194418138,0.022497023505455,0.008611110690216,0.022497023505455,0.008611110690216,101.0,225.0
5,2,49.632208,-113.932166,49.62911474423079,-113.93466362352785,0.023922916647528,2,48603.0,49.5,-114.0,0.0625,48603,0.009340277666099,0.390432228800309,0.149444442657577,0.390432228800309,0.149444442657577,102.0,224.0
6,2,49.632208,-113.932166,49.62911474423079,-113.93466362352785,0.023922916647528,2,48604.0,49.5,-113.75,0.0625,48604,0.002423610867588,0.101309171590439,0.038777773881412,0.10130917159044,0.038777773881412,102.0,225.0
7,2,49.632208,-113.932166,49.62911474423079,-113.93466362352785,0.023922916647528,2,48124.0,49.75,-114.0,0.0625,48124,0.011620833695703,0.485761576103796,0.185933339131251,0.485761576103796,0.185933339131251,101.0,224.0
8,3,50.125601,-113.151587,50.12116945843657,-113.14917239506724,0.007529861105087,3,47169.0,50.25,-113.25,0.0625,47169,0.003035416852363,0.403117243465844,0.048566669637816,0.403117243465844,0.048566669637816,99.0,227.0
9,3,50.125601,-113.151587,50.12116945843657,-113.14917239506724,0.007529861105087,3,47170.0,50.25,-113.0,0.0625,47170,0.000244444397498,0.03246333419528,0.003911110359976,0.03246333419528,0.003911110359976,99.0,228.0
10,3,50.125601,-113.151587,50.12116945843657,-113.14917239506724,0.007529861105087,3,47648.0,50.0,-113.25,0.0625,47648,0.003394444469021,0.450797753324821,0.054311111504341,0.450797753324821,0.054307491004944,100.0,227.0
11,3,50.125601,-113.151587,50.12116945843657,-113.14917239506724,0.007529861105087,3,47649.0,50.0,-113.0,0.0625,47649,0.000855555386204,0.113621669014056,0.013688886179265,0.113621669014056,0.013688886179265,100.0,228.0
