,ID_t,S_1_unitar,S_1_flag,lat_t,lon_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols
0,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,43.0,51.75,-116.25,0.0625,43,0.001325868055556,0.095376661005098,0.02121388888889,0.095376661005098,0.075570464485738,215.0,93.0
1,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,36.0,51.75,-116.5,0.0625,36,0.012246701388889,0.880969627335409,0.195947222222226,0.880969627335409,0.974471259445456,214.0,93.0
2,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,44.0,51.5,-116.25,0.0625,44,5.0173611111e-05,0.003609251673493,0.000802777777778,0.003609251673493,0.000909150966248,215.0,94.0
3,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,37.0,51.5,-116.5,0.0625,37,0.000278645833333,0.020044459985999,0.00445833333333,0.020044459985999,0.032037846577621,214.0,94.0
4,2,50.92933897927326,0,51.67071036244054,-116.30432322278199,0.006616666666667,2,43.0,51.75,-116.25,0.0625,43,0.006616666666667,1.0,0.105866666666666,1.0,0.377129964970579,215.0,93.0
5,3,65.79137203163639,0,51.66166883363126,-116.17610386532309,0.008545833333334,3,43.0,51.75,-116.25,0.0625,43,0.007304513888889,0.854745652527259,0.11687222222223,0.854745652527259,0.416335173860551,215.0,93.0
6,3,65.79137203163639,0,51.66166883363126,-116.17610386532309,0.008545833333334,3,50.0,51.75,-116.0,0.0625,50,0.000940277777778,0.11002762879895,0.015044444444443,0.11002762879895,0.356761741650684,216.0,93.0
7,3,65.79137203163639,0,51.66166883363126,-116.17610386532309,0.008545833333334,3,44.0,51.5,-116.25,0.0625,44,0.000301041666666,0.035226718673791,0.004816666666663,0.035226718673791,0.005454905797485,215.0,94.0
8,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,43.0,51.75,-116.25,0.0625,43,8.506944444e-06,0.002561154087394,0.000136111111111,0.002561154087394,0.000484870074611,215.0,93.0
9,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,50.0,51.75,-116.0,0.0625,50,0.0016953125,0.510401421701972,0.027125000000006,0.510401421701972,0.643238258349316,216.0,93.0
10,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,51.0,51.5,-116.0,0.0625,51,0.001557465277777,0.468900271795852,0.024919444444439,0.468900271795852,0.049199837664107,216.0,94.0
11,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,44.0,51.5,-116.25,0.0625,44,6.0243055555e-05,0.018137152414781,0.000963888888888,0.018137152414781,0.001091610329715,215.0,94.0
12,5,56.83543144744057,0,51.59767724817888,-116.22440490768652,0.007372222222222,5,43.0,51.75,-116.25,0.0625,43,0.001095486111112,0.148596458176397,0.017527777777785,0.148596458176397,0.062439391240695,215.0,93.0
13,5,56.83543144744057,0,51.59767724817888,-116.22440490768652,0.007372222222222,5,44.0,51.5,-116.25,0.0625,44,0.006276736111111,0.851403541823604,0.100427777777773,0.851403541823603,0.113735100462749,215.0,94.0
14,6,71.51295792421554,0,51.59238669262257,-116.4137831935709,0.009275,6,37.0,51.5,-116.5,0.0625,37,0.007175347222222,0.773622342018521,0.11480555555555,0.77362234201852,0.82499950096814,214.0,94.0
15,6,71.51295792421554,0,51.59238669262257,-116.4137831935709,0.009275,6,36.0,51.75,-116.5,0.0625,36,0.000320833333334,0.034591194968609,0.005133333333342,0.034591194968609,0.025528740554544,214.0,93.0
16,6,71.51295792421554,0,51.59238669262257,-116.4137831935709,0.009275,6,44.0,51.5,-116.25,0.0625,44,0.001778819444444,0.191786463012871,0.02846111111111,0.191786463012871,0.032232390312036,215.0,94.0
17,7,48.068860239410455,0,51.538594011375025,-116.09591279134612,0.006227083333334,7,44.0,51.5,-116.25,0.0625,44,0.000782986111111,0.125738820118224,0.012527777777779,0.125738820118224,0.014187788435224,215.0,94.0
18,7,48.068860239410455,0,51.538594011375025,-116.09591279134612,0.006227083333334,7,51.0,51.5,-116.0,0.0625,51,0.005444097222222,0.874261179881776,0.087105555555557,0.874261179881776,0.171977316851121,216.0,94.0
19,8,70.70905354766677,0,51.48127416375678,-116.31755357775405,0.009148611111111,8,44.0,51.5,-116.25,0.0625,44,0.007905208333333,0.864088355852447,0.126483333333333,0.864088355852444,0.143243183727141,215.0,94.0
20,8,70.70905354766677,0,51.48127416375678,-116.31755357775405,0.009148611111111,8,37.0,51.5,-116.5,0.0625,37,0.001243402777778,0.135911644147557,0.019894444444443,0.135911644147556,0.142962652454239,214.0,94.0
21,9,65.10083996473467,0,51.46184022049939,-116.01221626525908,0.008419444444444,9,51.0,51.5,-116.0,0.0625,51,0.008419444444444,1.0,0.134711111111111,1.0,0.265967598635494,216.0,94.0
22,10,27.933849104431616,0,51.397573628488985,-115.99937022778303,0.003607638888889,10,52.0,51.25,-116.0,0.0625,52,0.000656944444444,0.18209817131851,0.010511111111107,0.18209817131851,0.013393457593278,216.0,95.0
23,10,27.933849104431616,0,51.397573628488985,-115.99937022778303,0.003607638888889,10,51.0,51.5,-116.0,0.0625,51,0.002950694444445,0.81790182868149,0.047211111111112,0.81790182868149,0.093211508297777,216.0,94.0
24,11,30.424569612252466,0,51.452937628714444,-116.11320667843498,0.003934027777778,11,44.0,51.5,-116.25,0.0625,44,0.001132986111111,0.287996469549866,0.018127777777778,0.287996469549867,0.020529824241299,215.0,94.0
