,S_1_ID,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
0,1,49.627953,-114.565641,1,49.635051171786294,-114.55387726626167,1,402370256.2799627,1,48804.0,49.75,-114.5,500973365.38724244,48804,182461094.9265564,0.453465662729312,0.36421316487657507,0.45346566272931177,0.36421316487657485
3,1,49.627953,-114.565641,1,49.635051171786294,-114.55387726626167,1,402370256.2799627,1,49285.0,49.5,-114.5,503521541.1307602,49285,126468391.77360599,0.314308500192945,0.25116778815380064,0.3143085001929448,0.28161640372420255
1,1,49.627953,-114.565641,1,49.635051171786294,-114.55387726626167,1,402370256.2799627,1,48803.0,49.75,-114.75,500973365.3873198,48803,30346271.973905087,0.07541877536989375,0.0605746214680362,0.07541877536989372,0.5395811577847786
2,1,49.627953,-114.565641,1,49.635051171786294,-114.55387726626167,1,402370256.2799627,1,49284.0,49.5,-114.75,503521541.1308379,49284,63094497.60589547,0.15680706170784983,0.12530645156549644,0.15680706170784975,1.0
5,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352785,2,192228087.06900114,2,48806.0,49.75,-114.0,500973365.38724244,48806,93296547.08672091,0.485342951226642,0.1862305534239421,0.48534295122664095,0.18623055342394218
6,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352785,2,192228087.06900114,2,49287.0,49.5,-114.0,503521541.1307602,49287,75114151.10296445,0.3907553378294915,0.14917763187306807,0.3907553378294906,0.1491776318730681
7,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352785,2,192228087.06900114,2,49288.0,49.5,-113.75,503521541.13079906,49288,19493445.58909934,0.10140789458151389,0.038714223715873866,0.10140789458151367,0.03871422371587387
4,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352785,2,192228087.06900114,2,48807.0,49.75,-113.75,500973365.3872811,48807,4323943.290216857,0.022493816362354778,0.00863108418323637,0.02249381636235473,0.008631084183236366
8,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.436579384,3,48328.0,50.0,-113.25,498415313.3194773,48328,27016572.404429466,0.4510414027156319,0.05420494050332723,0.45104140271563153,0.05420132515901594
9,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.436579384,3,48329.0,50.0,-113.0,498415313.3194773,48329,6808704.592958577,0.11367125423286113,0.01366070506062941,0.11367125423286104,0.013660705060629415
